Title,Company_name,Company,Salary,Salary1,Schedule,jobsnippet,date,Place
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,Full-time,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,Full-time,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",Temporary,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",,Estimated $87.6K - $111K a year,Full-time,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",,Estimated $135K - $171K a year,Full-time,"Job no: 517469 Work type: Management (MPP) Location: San Francisco Categories: MPP, At-Will, Information Systems & Technology Working Title…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",Full-time,Job Description: The Enterprise Risk Management Department (“ERM”) is looking for an Associate Director risk professional to support the Bank in further…,"Posted
Posted 30+ days ago",Fair pay
Incident Response Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Temporary,Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok has global offices…,"Posted
Posted 30+ days ago",
"Cyber Threat Specialist, Associate",PG&E Corporation,"Concord, CA 94518",,$38.46 - $57.69 an hour,Full-time,Requisition ID # 149474 Job Category: Information Technology Job Level: Individual Contributor Business Unit: Information Technology Work Type: Hybrid Job…,"Posted
Posted 2 days ago",
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",Full-time,DSA specializes in providing cutting-edge data analysis and technology solutions to our government customers. With a team of highly skilled colleagues and the…,"Posted
Posted 30+ days ago",Good compensation and benefits
Information Security Analyst,PayPal,Remote in Arizona,,Estimated $90.3K - $114K a year,Full-time,"At PayPal (NASDAQ: PYPL), we believe that every person has the right to participate fully in the global economy. Our mission is to democratize financial…","Posted
Posted 11 days ago",
Adjunct – Information Systems Technology -Cybersecurity,Columbus State Community College,"Columbus, OH 43215 
(Downtown area)",,$54.48 an hour,Temporary,POSITION SUMMARY The Adjunct – Information Systems Technology – Cybersecurity position provides quality instruction and maintains a positive learning…,"Posted
Posted 30+ days ago",Good work-life balance
Product Security Lead,Cox Communications,"Atlanta, GA",,"$105,700 - $176,100 a year",Full-time,Product Security Lead Most of us grew up with big dreams about changing the world. Isn't it exciting to think that you could still have the opportunity to do…,"Posted
Posted 30+ days ago",Good compensation and benefits
Cyber Security Engineer-must have Splunk & Phantom,Donnelly & Moore Corporation,"Hybrid remote in New York, NY 10003",,$75 - $80 an hour,Full-time,Skills & Requirements * 3-5 years Thorough understanding of communication protocols and security standards. * Must be comfortable and skilled at driving…,"Posted
Posted 5 days ago",
"2025322 Cyber Security SME $215,000.00",B4CORP,"Herndon, VA",,"Up to $2,000 a week",Full-time,Position Requires a Top Secret (TS/SCI) Clearance with a Polygraph. Estimated Salary: Position Level: Level 1 – Subject Matter Expert Salary Range: Up to $215…,"Posted
Posted 30 days ago",Supportive management
Vulnerability Management Analyst,TikTok,"Hybrid remote in San Jose, CA",,"$80,000 - $100,000 a year",Temporary,Responsibilities Responsibilities TikTok is the leading destination for short-form mobile video. Our mission is to inspire creativity and bring joy. TikTok…,"Posted
Posted 30+ days ago",
Security Systems Analyst | REMOTE,Dignari,Remote,,Estimated $84.5K - $107K a year,Full-time,"Dignari is a forward-thinking, human-centered, emerging technology and analytics company that builds solutions to transform business. We’re a woman owned…","Posted
Posted 30+ days ago",
Information Technology CyberSecurity Specialist,U.S. Department of State,"Hybrid remote in Washington, DC 20520",,"$94,199 - $122,459 a year",Full-time,Overview Accepting applications Open & closing dates 06/28/2023 to 07/12/2023 This job will close when we have received 100 applications which may be sooner…,"Posted
Posted 4 days ago",
IT Cyber Security Specialist,"Esolvit Inc.,","Woburn, MA 01801",,"$90,000 - $93,000 a year",Full-time,"About Esolvit Inc. Esolvit, Inc. is a National Award winner professional Information Technology Services and Information Technology Solution Company…","Posted
Posted 20 days ago",Job satisfaction
Special Agent: Cybersecurity/Technology Background,Federal Bureau of Investigation,"San Diego, CA",,"$78,000 - $153,000 a year",Temporary,HOW TO APPLY STEP 1: Click on the “Apply” button to be directed to the FBIJobs Careers website. STEP 2: Click the “Start” button to begin. You will be…,"Posted
Posted 2 days ago",
Information Security Analyst,Network Coverage,Remote,,"$55,000 - $80,000 a year",Full-time,"Maintain up-to-date detailed knowledge of the IT security industry including awareness of new or revised security solutions, improved security processes, and…","Employer
Active 4 days ago",Easy to request PTO
Security Analyst,Brooksource,"Hybrid remote in Lansing, MI 48917",,$24 - $25 an hour,Full-time,Creates security procedures to ensure adequate security procedures have been developed to identify and classify cyber events.,"Employer
Active 7 days ago",Job satisfaction
Sr. IT Risk & Internal Auditor,RETIREMENT CLEARINGHOUSE LLC,"Charlotte, NC 28202 
(Downtown Charlotte area)",,"$100,000 - $120,000 a year",Temporary,"Support IT and related departments with the formation of IT and security policies/procedures.
 FULL-TIME/PART-TIME: Full-Time.","Posted
Posted 1 day ago",
IT Security Engineer,CR&R Inc,"Stanton, CA 90680",,"From $125,000 a year",Full-time,"He/She will devise and manage a security roadmap that maintains and strengthens the company's security posture.
 Maintenance of MS Intune and Cortex XDR.","Employer
Active 4 days ago",
Cyber Security Specialist,Acacia Network,"Hybrid remote in Bronx, NY 10457",,"$100,000 - $110,000 a year",Full-time,"Oversee and monitor routine security administration.
 Proven experience in network and/or systems security.
 Respond immediately to security incidents and provide…","Employer
Active 5 days ago",Maternity leave satisfaction
Linux Administrator - ACAS,CACI,"Springfield, VA 22150",,,Temporary,"Minimum Clearance Required to Start: TS/SCI with Polygraph.
 Percentage of Travel Required: Up to 10%.
 Provide all preventative and corrective maintenance to…","Posted
Posted 30+ days ago",Good compensation and benefits
Digital Forensics Analyst,Technology Concepts & Design (TCDI),"Remote in Cleveland, OH",,Estimated $87.6K - $111K a year,Full-time,"This position will be responsible for preserving and analyzing data from various sources, including laptops / desktops, servers, cell phones, cloud-based…","Posted
Posted 30+ days ago",
Cloud Security Architect,Idea Evolver,Remote,,"$120,000 - $160,000 a year",Full-time,"Oversee internal security team and company security posture.
 Conduct architecture reviews and white box security testing to assess and validate application…","Employer
Active 4 days ago",
CYBER THREAT DEFENDER,Broward County Public Schools,"Sunrise, FL 33351",,Estimated $72.7K - $92.1K a year,Temporary,"To review the complete job description for this position, access the following website: https://www.browardschools.com/Page/36072 and search by Job Code. The…","Posted
Posted 22 days ago",
Cyber Security Instructor (virtual),Cyber Arts Camp,Remote,,$60 - $90 an hour,Full-time,"Job Types: Part-time, Contract.","Employer
Active 4 days ago",
Director of Information Security #517469,San Francisco State University,"Hybrid remote in San Francisco, CA 94132",,Estimated $135K - $171K a year,Full-time,"Experience with cyber security frameworks such as ISO 27000, NIST 800.
 A working knowledge of information security practices and concepts including: access…","Employer
Active 4 days ago",Good management
"IT and Operational Risk Management, Assoc. Dir.",FHLBank San Francisco,"San Francisco, CA 94104 
(Financial District/South Beach area)",,"$155,000 - $175,000 a year",Contract,"Additionally, the role will ensure that key ERM, ORM and ITRM processes including identification, assessment, monitoring, management, and reporting of risks…","Posted
Posted 30+ days ago",Fair pay
Intermediate Information Security Analyst,"Data Systems Analysts, Inc.","Remote in Washington, DC 20015",,"$75,000 - $90,000 a year",Temporary,"Working closely with senior agency security officials, system owners, information system security officers (ISSOs) and other stakeholders to advise and…","Posted
Posted 30+ days ago",Good compensation and benefits
